Headliner,Count,Total_Gross,Tickets_Sold,Avg_Ticket_Price
Grupo Firme,28,31681207.3,278733,113.07
Paul McCartney,5,31532303.52,225617,138.59
Iron Maiden,22,30761024.21,301540,109.86
Alanis Morissette,32,30678064.16,473053,70.53
Billy Joel,4,29482641.85,161411,195.87
The Killers,22,28473542.5,332572,123.35
Mariah Carey,26,28393472.55,204381,155.78
"Charli xcx, Troye Sivan ",21,28018143.49,297719,93.02
Linkin Park,11,27568154.22,287079,97.29
"""Tecate Pa'L Norte""",1,26329302.59,244940,107.49
The Weeknd,2,26115998.0,211062,125.12
Fall Out Boy,25,25926293.42,280249,91.73
Sammy Hagar,28,25458673.7,333831,81.73
"Earth, Wind &amp; Fire, Chicago",30,25334652.63,377738,70.84
Diljit Dosanjh,17,25313032.33,198702,121.89
Stevie Nicks,12,25280725.1,148845,170.88
"Enrique Iglesias, Ricky Martin, Pitbull",18,24462410.16,201252,122.22
Morat,21,24277231.02,308658,84.02
Kevin Hart,42,23743897.61,173346,142.33
Dua Lipa,9,23638925.26,190351,121.63
Junior H,13,23370087.59,159566,143.0
"Billy Joel, Stevie Nicks",2,23240994.78,103675,225.76
"""Electric Daisy Carnival"" (Mexico)",1,23238692.66,309063,75.19
Avril Lavigne,28,23226221.89,417073,58.76
Maxwell,24,22559748.83,233389,97.51
Dan + Shay,48,22104012.06,418740,64.73
Cyndi Lauper,24,21533859.34,215283,102.61
"Styx, Foreigner",36,21398674.01,385476,58.52
SEVENTEEN,7,21258667.2,161154,132.92
"Future, Metro Boomin",15,21181596.48,181235,115.0
Megan Thee Stallion,16,21138681.83,202512,102.03
Glass Animals,31,21107505.18,348057,61.55
Liam Gallagher,7,20824711.18,227906,85.78
Jonas Brothers,17,20818657.44,240806,91.86
"""Afterlife""",6,20287850.01,317368,83.86
Weezer,21,20216876.74,230930,88.24
Marco Antonio Solís,21,20199180.05,157915,127.14
SZA,7,19991590.67,158971,127.84
"Cirque du Soleil - ""Kurios""",12,19267001.24,179836,106.71
Matt Rife,27,18833910.16,227128,83.68
Thirty Seconds To Mars,55,18545461.25,355065,53.67
Kings Of Leon,22,18330097.31,218500,80.13
Cigarettes After Sex,22,17780059.29,267429,66.38
Grupo Frontera,25,17651142.69,180898,94.14
Maroon 5,12,17604575.14,122715,158.67
TWICE,3,17537967.49,180033,97.48
21 Savage,28,17409298.6,414476,43.73
Alejandro Fernández,11,17299134.69,187125,105.76
Rod Stewart,16,17211734.68,158699,113.48
HARDY,18,16992209.63,261915,68.63
Odesza,4,16409026.09,143043,131.75
Limp Bizkit,20,16209726.55,296972,54.7
Los Bukis,13,15998261.0,61884,256.84
"Caetano Veloso, Maria Bethania",11,15283713.43,314120,52.61
"""Corona Capital Festival""",1,15276102.73,164615,92.8
Tool,11,15271882.46,129965,117.61
NF,22,14539042.65,194852,73.83
Sarah McLachlan,29,14495209.12,184542,78.81
Neil Young &amp; Crazy Horse,11,14483099.48,120520,120.3
AC/DC,1,14316703.89,82298,173.96
Nickelback,12,14151306.5,145185,96.44
Anyma,5,13568642.94,86343,157.19
Meghan Trainor,23,13407158.61,251582,54.53
"XSCAPE, SWV",29,13361726.21,232325,59.4
Pentatonix,17,13331611.6,187512,72.14
Disturbed,23,12872332.01,186317,72.01
Little Big Town,14,12862304.35,131294,98.38
Andrew Schulz,30,12846942.48,177910,74.35
"Tina Fey, Amy Poehler",9,12845156.4,84218,156.85
"""Vive Latino""",1,12831649.67,151630,84.62
"""Lollapalooza Chile""",1,12637561.76,70820,178.45
Ana Gabriel,14,12599030.04,103084,124.4
John Mayer,8,12314225.74,126264,79.64
I.U,6,12302302.52,78080,156.65
A Boogie Wit Da Hoodie,32,11823958.48,202415,55.46
Tate McRae,28,11798767.16,190524,62.46
"""Festival Estereo Picnic""",1,11643560.88,105074,110.81
Lady Gaga,7,11473416.0,37113,309.18
Gloria Trevi,25,11260188.94,116344,100.13
Korn,10,11194067.98,139525,76.04
"""Coca-Cola Flow Fest""",1,11187331.55,142963,78.25
Luis Miguel,2,11085013.95,112690,98.34
Yuri,18,10879555.58,110212,103.89
Zach Bryan,3,10602350.88,72252,144.44
Lindsey Stirling,36,10597826.77,146576,75.37
Slipknot,10,10588544.4,143271,76.21
Emmanuel &amp; Mijares,16,10420069.05,144450,75.14
"""Pixar World""",49,10354776.77,332586,28.71
Riley Green,33,10194701.01,197866,52.26
"Billy Joel, Rod Stewart",1,9676590.0,44553,217.19
Burna Boy,6,9423901.1,95693,98.35
Yuridia,17,9205955.36,138670,68.75
Kygo,10,9127303.05,118290,77.64
Young Miko,25,9126522.18,113661,85.44
Ne-Yo,9,9085553.03,90268,98.46
"""Tecate Emblema""",1,8995569.59,117021,76.87
IVE,9,8929690.86,82290,107.53
Jordan B. Peterson,25,8875683.34,122919,72.96
Lainey Wilson,14,8667169.77,118168,71.66
Incubus,8,8631273.81,94331,91.35
Hootie &amp; The Blowfish,8,8467291.46,101362,85.79
Aventura,3,8351505.4,96193,86.75
Lionel Richie,8,8342176.48,93606,89.49
"""AXE Ceremonia Festival""",1,7933319.25,57917,136.98
Fred again..,7,7761245.85,77550,100.5
Greta Van Fleet,14,7739278.16,94072,80.02
Russ,11,7710543.24,94108,76.63
Doobie Brothers,14,7617633.96,98854,74.81
Trevor Noah,11,7591809.21,95558,75.92
"""Anastasia""",21,7547851.04,97469,75.36
Conan Gray,17,7537711.98,131312,58.26
Benson Boone,34,7536350.82,141996,48.4
Don Toliver,10,7533386.19,95088,81.08
Becky Hill,10,7477819.45,118483,62.44
Bill Burr,10,7475488.96,81236,87.79
"""Longitude""",2,7333776.86,67758,108.25
Pepe Aguilar,13,7327394.96,91149,83.06
Doja Cat,7,7298161.81,85633,88.21
Maggie Rogers,12,7253743.94,105677,62.47
Bryan Adams,14,7165251.48,84116,85.67
"Santana, Counting Crows",6,7146644.24,66104,103.01
Bryson Tiller,16,7116014.81,101943,65.54
Lenny Kravitz,3,7012780.42,52900,120.87
Judas Priest,17,6983254.56,87191,80.19
"""Disney On Ice: Magic In The Stars""",4,6971035.97,121480,57.34
Los Temerarios,2,6945849.69,111280,62.31
NCT Dream,7,6891469.21,54076,127.41
Jay Chou,1,6848512.89,21205,322.97
Bush,25,6830978.39,144584,50.34
Sum 41,12,6826139.41,81195,74.87
Snoop Dogg,9,6759172.52,83212,80.85
Excision,8,6720531.71,97880,66.45
Brett Goldstein,17,6713781.57,63735,107.14
Cage The Elephant,12,6661841.17,116785,58.12
Vampire Weekend,10,6642125.73,100350,61.03
Mon Laferte,18,6636622.69,102499,67.47
$uicideboy$,5,6551276.43,75798,86.09
The Script,14,6481964.51,93490,63.65
"ZZ Top, Lynyrd Skynyrd",14,6462722.2,110635,64.73
ILLENIUM,1,6375232.5,71096,89.67
Take That,3,6349886.79,65310,96.73
"The Smashing Pumpkins, Weezer",5,6343260.93,68039,92.89
Tom Segura,13,6223273.8,73991,85.22
"Cirque du Soleil - ""Ovo""",18,6104981.96,79148,76.47
Shakira,1,6004725.2,52308,114.8
Sam Hunt,15,5982359.78,111705,54.35
Caifanes,8,5921674.85,121352,54.18
Karan Aujla,7,5657194.97,79686,70.92
Louis Tomlinson,5,5638661.24,66337,83.48
Kirk Franklin,14,5625525.86,81148,69.57
Bunbury,3,5624693.22,89150,78.24
"""Netflix Is A Joke"", Jerry Seinfeld, Jim Gaffigan, Sebastian Maniscalco",1,5596915.0,33017,169.52
Pantera,10,5509133.27,67890,82.01
Cody Johnson,3,5501266.85,60686,90.6
Eric Clapton,2,5474180.72,42063,160.56
Natanael Cano,1,5468738.12,62583,87.38
Troye Sivan ,17,5458292.5,122245,38.52
Los Fabulosos Cadillacs,6,5378211.8,87477,63.06
Parker McCollum,18,5370287.85,101471,52.81
Danny Ocean,20,5363456.48,94126,60.18
ITZY,8,5336228.55,55057,101.07
City and Colour,15,5319286.97,91116,58.28
Hombres G,9,5282149.08,51819,103.63
"""Festival Cordillera""",1,5153916.85,61008,84.48
Ms. Lauryn Hill,4,5043918.86,46019,122.95
The Corrs,7,5000305.72,48402,104.23
PARTYNEXTDOOR,26,4947160.5,84273,57.15
The Australian Pink Floyd Show,38,4894408.14,73426,76.11
Kehlani,9,4714294.3,58704,77.59
Bring Me The Horizon,6,4658817.42,76544,61.49
"""Jurassic World Exhibition"" (Exposition)",43,4619934.46,149059,32.18
Scorpions,1,4612676.0,36607,126.01
"""Electric Picnic""",1,4601490.16,16717,275.26
Five Finger Death Punch,9,4538554.83,75170,64.27
The Wolfe Tones,13,4536152.78,85062,54.89
Tom Jones,10,4534656.74,57276,92.88
Wallows,12,4521316.57,74363,59.0
Avenged Sevenfold,10,4389625.86,55664,78.9
Billy Idol,10,4386979.85,58525,75.14
Keane,7,4321794.64,57535,72.91
Carín León,1,4285642.16,54831,78.16
Brooks &amp; Dunn,5,4185153.71,50307,84.39
James Arthur,16,4151519.34,77915,50.97
"Lynyrd Skynyrd, ZZ Top",8,4128634.2,78885,54.65
Queens of The Stone Age,12,4124203.0,64485,61.39
"""Festival ARRE HSBC""",1,4109365.67,90942,45.19
Los Ángeles Azules,9,3984471.51,49474,89.97
Belanova,9,3977669.71,65997,69.73
Tedeschi Trucks Band,9,3888234.92,47158,83.58
Duran Duran,4,3843017.81,32775,112.97
Crowded House,8,3837185.9,49593,78.37
Banda MS,3,3825220.33,25727,147.65
"""Pulso GNP""",1,3812761.14,35659,106.92
Godsmack,17,3762009.4,49672,82.55
Kasabian,5,3720306.03,48477,71.67
Colter Wall,19,3679117.08,60478,61.89
Gunna,8,3658144.22,50588,71.44
Palomazo Norteño,5,3639583.0,26743,131.98
Gracie Abrams,8,3639481.0,55121,64.57
Dierks Bentley,9,3632538.87,75311,49.84
Tenacious D,4,3627887.08,47792,75.52
Jordan Davis,11,3608849.85,62951,56.65
AIR,13,3608833.24,39002,92.74
The Beach Boys,15,3606014.13,69454,55.23
Shania Twain,2,3593857.42,40297,89.05
Roberto Carlos,7,3587721.72,35214,95.36
"""Dale Mixx""",1,3561475.06,41663,85.48
Girls Aloud,4,3530210.18,37411,95.56
"John Oliver, Seth Meyers",11,3453609.0,30065,114.88
Third Eye Blind,7,3404176.86,55184,61.38
Larry David,5,3397737.35,15852,214.17
Kaytranada,5,3366346.46,54236,58.48
Foreigner,18,3321143.57,30673,108.52
"""Jurassic World Live""",2,3309865.23,63409,52.08
Goose,11,3287879.3,55645,56.43
Andres Cepeda,5,3270841.44,54820,52.87
Laufey,13,3258981.69,50840,62.09
"Stone Temple Pilots, +LIVE+",10,3236536.21,76603,46.16
Simple Minds,4,3216793.87,38552,83.47
Iván Cornejo,5,3216075.15,36612,82.8
Café Tacvba,3,3204992.15,67934,49.05
Derek Hough,16,3169761.88,40549,78.74
Def Leppard,3,3144981.0,31812,106.08
Styx,16,3142493.5,46602,75.68
Christian Nodal,1,3119269.53,37781,82.56
"Dave Chappelle, Killer Mike",5,3117836.45,21339,145.15
Evanescence,6,3116528.49,51916,60.81
"""Monster Jam""",1,3080744.02,55565,55.44
Megadeth,6,3080691.82,55885,52.72
John Legend,6,3041521.65,30167,102.47
Grupo Codiciado,8,2977033.92,31215,95.97
Travis,2,2974066.63,25340,106.15
The Black Crowes,10,2971000.3,30982,101.2
Mt. Joy,9,2970471.81,53305,48.15
Chelsea Handler,23,2960124.78,41472,71.47
"+LIVE+, Stone Temple Pilots",9,2922491.0,64324,45.94
Franco Escamilla,5,2916823.0,30496,94.7
"""Belfast Vital""",1,2880049.45,40000,72.0
Arcángel,6,2863408.39,44594,64.69
Cold Chisel,2,2862076.7,25501,112.3
Hatsune Miku,5,2852519.38,29904,97.95
Fontaines D.C.,6,2835412.48,61162,43.37
Joker Xue,2,2819362.53,17480,154.89
Stick Figure,4,2796519.16,50355,54.57
Kenia Os,3,2794724.87,40068,69.66
A Day To Remember,8,2780674.1,48105,57.84
Álvaro Díaz,4,2744052.87,43745,57.44
Boyz II Men,8,2696552.06,27032,114.15
"""C2C: Country to Country"", ""Introducing Nashville""",1,2695541.82,27354,98.54
Whiskey Myers,13,2694014.63,45436,61.81
The 1975,2,2693693.7,35529,73.53
The National,4,2690946.82,31954,83.2
Jacob Collier,11,2690587.39,44713,59.52
"""Soulshine - Hurricane Benefit Concert""",1,2647706.43,15892,166.61
James Taylor,4,2646006.88,36408,73.72
Hank Williams Jr.,4,2631730.9,37128,69.53
Tucker Carlson,6,2583555.06,28669,89.2
"In Flames, Arch Enemy",6,2580719.16,38364,66.88
Picus,13,2547891.0,52899,48.49
"""Hot Wheels Monster Trucks Live""",2,2530862.88,54363,46.54
Kany García ,6,2524850.68,34094,73.79
Blue Man Group,63,2513494.76,40388,61.09
David Foster,3,2512290.5,18504,110.41
Picture This,5,2501433.98,43570,53.74
"""One Hallelujah""",12,2498137.79,36058,69.27
Sleep Token,5,2448371.75,44770,53.82
The Teskey Brothers,20,2433593.48,48606,49.38
"""Belfast Vital"", Liam Gallagher",1,2420177.27,32009,75.61
"""The Illusionists""",5,2417619.0,38465,62.03
"Cirque du Soleil - ""Messi10""",24,2398814.27,26989,90.63
Duki,3,2368046.42,34279,69.77
"""Festival Vaivén""",1,2332659.62,19261,121.11
Juanes,11,2293614.2,34683,64.71
"""Disney On Ice: Road Trip Adventures""",10,2276372.96,49555,45.52
Brett Eldredge,4,2272843.56,24613,90.3
Sean Paul,21,2265245.0,43812,52.62
"Cirque du Soleil - ""Corteo""",1,2264333.11,20900,108.34
Chase Atlantic,7,2251686.96,35374,59.51
Ha*Ash,5,2247623.16,35458,64.44
"""Mrs Brown's Boys D'Live Show""",19,2220199.7,42101,53.58
Rex Orange County,8,2219980.85,31430,73.63
The Kid LAROI,8,2206668.93,40022,54.5
Asake,4,2202743.13,25654,87.0
3 Doors Down,2,2188939.7,22234,105.24
Moderatto,5,2162432.33,34007,60.89
Scooter,5,2158396.53,34781,62.08
María José,4,2157947.21,41352,53.44
Raphael,8,2141362.5,29785,81.2
"""Stirling Summer Sessions"", Shania Twain",1,2133435.76,20560,103.77
"""Outlaw Music Festival"", Willie Nelson",2,2126670.07,29588,71.79
"""Life Is a Carnival: A Musical Celebration of Robbie Robertson""",1,2123343.0,10846,195.77
Jon Pardi,6,2121514.82,35778,56.38
Micky Flanagan,2,2088618.99,32613,64.04
J. Cole,1,2084747.68,14215,146.66
Aurora,7,2068866.83,45760,45.64
Charli xcx,5,2061787.98,38813,44.86
Los Caligaris,2,2061591.17,27710,66.45
Slash featuring Myles Kennedy &amp; The Conspirators,5,2059553.8,30778,63.58
"""Strength of a Woman""",1,2059367.3,13216,155.82
Intocable,1,2058402.75,29041,70.88
"""Sessanta""",3,2056366.6,26027,82.98
Latto,6,2055693.13,26559,1181.85
"Steve Martin, Martin Short",3,2054384.0,15891,145.87
Westlife,5,2006488.02,27272,76.11
Hasan Minhaj,7,1985724.2,27211,74.33
Bleachers,7,1968898.13,30419,56.09
Alfie Boe,18,1965877.12,24284,81.05
Emicida,10,1959415.59,61521,28.55
"""ABGT 600""",1,1953069.67,24676,79.15
LCD Soundsystem,3,1952104.44,27850,63.78
Subtronics ,8,1951792.4,34255,55.81
"""Helping Hands Concert &amp; Auction""",1,1950580.0,4761,409.7
Texas,1,1942485.74,27379,70.95
Snow Patrol,1,1938880.38,28302,68.51
The 2 Johnnies,2,1937105.07,29624,65.0
Ringo Starr &amp; His All Starr Band,2,1926055.24,24251,80.96
"""Festival HERA HSBC""",1,1910331.96,36363,52.54
Rob Zombie,2,1903401.88,28062,66.13
ZZ Top,8,1892769.7,21607,89.86
Sam Fender,2,1883246.95,26623,70.68
Porter Robinson,9,1883208.92,32626,55.31
Ishay Ribo,1,1878031.5,12380,151.7
Ronny Chieng,11,1850216.29,33715,52.43
Dashboard Confessional,19,1836841.0,42073,43.53
"Breaking Benjamin, Staind",2,1835131.29,25437,73.78
Catfish And The Bottlemen,1,1833304.78,27000,67.9
Deftones,1,1825419.0,21244,85.93
Nathaniel Rateliff &amp; The Night Sweats,4,1816592.3,27137,66.37
"""Baum Festival""",1,1813431.79,38174,47.5
Michael Franti &amp; Spearhead,14,1809842.85,27952,70.88
Two Door Cinema Club,9,1804032.37,34905,52.41
J Balvin,2,1798499.34,26082,69.22
IDLES,11,1791995.59,38708,45.97
LANY,12,1788743.42,32268,55.64
Nick Cave &amp; The Bad Seeds,2,1778174.65,20327,87.18
"""C2C: Country to Country""",1,1774916.94,13460,131.87
Jeff Dunham,8,1755485.36,25898,70.04
Wynonna Judd,11,1725447.81,21435,82.27
Joé Dwèt Filé,1,1717851.86,36629,46.9
Kimberly Loaiza,3,1711375.52,29172,57.78
"""2:22 - A Ghost Story""",59,1710820.55,33671,50.48
"Jane's Addiction, Love and Rockets",5,1698738.57,21953,76.84
"""Francofolies La Rochelle"", Sting",1,1690708.1,13000,130.05
Falling In Reverse,4,1690529.29,28903,59.42
Two Friends,3,1678439.67,23656,71.01
Billy Strings,2,1665972.5,24947,66.44
Alice Cooper,3,1663054.68,33100,50.36
Goldband,1,1650024.3,29581,55.78
Jason Aldean,2,1628067.5,18532,91.82
Something Corporate,11,1621554.5,28795,56.17
"The National, The War On Drugs",4,1615221.77,28031,59.46
Breaking Benjamin,5,1613578.75,23541,72.3
"""Netflix Is A Joke"", Bill Burr",1,1602306.0,16041,99.89
Khruangbin,6,1588764.0,26747,63.16
Chappell Roan,11,1588249.38,41417,38.18
Jay Wheeler,1,1583287.52,9366,169.05
Eric Prydz,2,1558017.94,18557,91.03
London Grammar,2,1552670.45,28488,56.04
"""Kidz Bop Live""",9,1530487.88,34382,46.73
Camilo Séptimo,10,1529965.26,31467,42.17
"""Tecate Peninsula""",1,1520533.06,20530,74.06
Boris Brejcha,4,1518066.61,24378,58.35
Eden Muñoz,5,1507346.77,18905,85.13
Cian Ducrot,2,1498107.44,27905,53.72
"""Netflix Is A Joke"", Kevin Hart",1,1480808.0,13576,109.08
John Fogerty,5,1478297.6,26421,57.82
Madison Beer,8,1477816.34,28576,49.45
Cole Swindell,5,1472237.52,17936,114.52
LP,5,1460201.9,27618,56.2
Paolo Nutini,1,1459251.71,25040,58.28
Brent Faiyaz,2,1449212.32,20078,71.95
"""Summer of '99 and Beyond Festival""",1,1441577.0,23332,61.79
Deep Purple,5,1429989.87,27065,53.29
Residente,3,1428663.49,22514,76.9
"""Tycoon Music Festival""",1,1427074.0,12099,117.95
"""Reggae Fest Massive""",1,1418343.5,12791,110.89
Ellen DeGeneres,4,1418298.78,15124,93.32
"""Clubland Live""",4,1414531.9,25332,55.33
Michael McIntyre,2,1414454.65,16127,89.27
"""Zamna Festival""",2,1413117.72,29236,45.62
Teddy Swims,9,1412955.12,20950,66.3
Sofia Niño de Rivera,12,1411857.13,32494,49.0
Fatboy Slim,4,1409158.55,23580,59.31
Stevie Wonder,1,1403858.74,12671,110.79
Ali Wong,3,1398383.0,18932,75.35
Diana Ross,3,1388556.1,13973,112.51
Leon Bridges,2,1379169.0,14049,84.16
Amon Amarth,7,1378202.3,25878,51.48
Marti Pellow,5,1376221.92,19754,69.67
Jessie Murph,13,1375531.39,36241,36.86
Still Woozy,9,1374958.11,27108,49.57
"Pixies, Modest Mouse",3,1361740.88,26130,51.56
"Lamb of God, Mastodon",4,1354712.2,22730,58.43
The Black Keys,2,1353264.21,18962,71.5
ONEUS,11,1352939.0,13917,97.0
Koe Wetzel,4,1349715.5,26938,56.26
John Summit,2,1348295.04,19149,63.43
Sabrina Carpenter,1,1346091.0,12203,110.31
Pixies,4,1331373.87,19047,68.72
Black Coffee,3,1326915.6,22896,57.87
The Postal Service,3,1314844.45,19057,69.3
Ron White,6,1313703.0,15734,86.57
"REO Speedwagon, Train",3,1308384.33,38181,37.34
Jason Derulo,2,1281694.22,18297,70.38
"""Netflix Is A Joke"", Trevor Noah",1,1280820.0,15200,84.26
One Ok Rock,2,1265370.56,20515,61.6
Esther Perel,4,1264549.31,15626,80.49
DPR,1,1253626.25,19246,65.14
Tank,8,1245657.1,18219,70.65
Mitski,7,1237865.18,18143,68.06
Enrique,1,1229220.45,10427,117.89
Bobby Weir And Wolf Bros,1,1226124.5,9347,131.18
Blessd,2,1211828.21,31288,37.99
Mother Mother,11,1211194.92,33618,35.24
Carlos Vives,4,1210727.68,20819,61.78
Beabadoobee,4,1207854.1,23314,51.16
Tori Kelly,30,1201766.71,41561,29.34
"""KDAY Krush Groove""",1,1196417.0,10514,113.79
Lake Street Dive,3,1192275.04,19566,58.39
Staind,4,1165122.24,17727,74.16
"Caifanes, Café Tacvba",2,1162043.2,18740,65.32
"Alanis Morissette, Joan Jett &amp; The Blackhearts",1,1153625.0,15829,72.88
"The Postal Service, Death Cab For Cutie",2,1153379.24,16336,72.53
Jhené Aiko,1,1152887.48,11665,98.83
Vance Joy,2,1150956.83,19452,59.26
girl in red,7,1149393.14,24531,47.52
D-Block Europe,1,1147845.76,16106,71.27
"The Revivalists, Spoon",1,1143049.5,15762,72.52
Los Autenticos Decadentes,2,1135602.93,27147,45.17
"I Prevail, Halestorm",3,1125210.32,30772,36.8
Humbe,2,1119266.21,15536,72.02
"James, Razorlight",2,1118614.79,16633,67.01
"Staind, Breaking Benjamin",2,1118606.06,35602,36.05
Arcade Fire,1,1115153.73,16049,69.48
Lewis Black,13,1113364.08,18569,60.61
Napoleón,3,1110814.27,22526,50.46
Madness,3,1109992.19,16905,65.29
The Offspring,1,1108798.5,11098,99.91
"""Netflix Is A Joke"", ""Kill Tony""",2,1104193.0,13589,80.25
Dark Star Orchestra,10,1095647.46,26811,41.56
"""Hot Wheels Monster Trucks Live Glow Party""",1,1093877.15,21640,50.55
Daniel Tosh,4,1091437.0,11116,107.44
Daryl Hall,4,1076143.48,13731,86.87
André Rieu,1,1065950.88,10602,100.54
O.A.R.,6,1062011.48,20179,53.78
Milo J,3,1052560.2,20266,51.9
Martin Lawrence,3,1051240.0,8700,120.83
Scouting For Girls,20,1045004.57,27457,37.67
Lil Tjay,5,1039277.37,20572,48.39
The Marley Brothers,3,1034980.72,19483,54.52
Flatland Cavalry,5,1032378.6,25557,36.88
Lila Downs,8,1031882.44,22134,46.14
Black Pumas,6,1029167.37,17754,57.36
Ledisi,6,1029016.3,13257,77.96
The Marias,7,1027349.81,16191,61.19
PJ Harvey,3,1023680.77,13384,75.36
UB40 Feat. Ali Campbell,3,1016684.59,16667,64.07
mike.,6,1009447.83,20358,49.58
Bronco,2,1008584.55,9541,107.4
Aaron Lewis,6,1000523.28,11736,87.12
"""90's Pop Tour""",2,999564.01,10706,89.54
Ken Carson,5,992895.02,21138,48.43
John Mulaney,3,985691.38,7977,125.05
"""BET Experience""",1,983280.5,12793,76.86
"""Outlaw Music Festival""",1,958607.5,9055,105.86
Rick Astley,2,958141.64,13671,70.78
Jason Mraz,2,956943.0,13282,63.79
The Driver Era,10,955430.92,24363,39.61
Bizarrap,2,943849.85,6584,211.95
Tems,8,943777.05,31560,29.48
Willie Nelson,2,930035.0,14619,66.3
"""Night Of The Jumps""",2,928280.07,10188,98.68
Exhale,2,920746.79,17958,51.04
Enjambre,2,919763.19,23221,44.88
YOASOBI,2,919580.88,9943,90.58
Ray LaMontagne,5,919520.0,12057,82.37
Ricky Gervais,3,918423.05,16980,52.89
Paul Smith,2,913265.37,17717,51.55
Pendulum,3,913071.41,17137,53.3
Future,1,899981.0,9888,91.02
Taeyang,1,892793.42,7413,120.44
Moenia,5,887876.74,22469,40.02
The Smashing Pumpkins,1,882163.12,11343,77.77
"""Netflix Is A Joke"", Andrew Schulz, Shane Gillis",1,881879.0,13059,67.53
"""Power 105.1's Powerhouse""",1,880262.0,12725,69.18
Anderson .Paak,2,880133.9,14420,60.04
Matisse,6,879641.36,19925,43.85
Sonny Fodera,2,878934.14,14274,61.58
Juan Luis Guerra,2,870461.27,8177,106.58
Lucky Daye,10,869983.26,22979,36.01
Brad Williams,14,868572.73,21153,41.29
Tom Odell,3,865250.24,14911,47.69
Paul Heaton,2,864880.36,19434,44.45
Davido,2,862716.57,12221,70.88
Needtobreathe,8,861373.69,20007,43.17
"""The Thorn""",2,856852.3,11870,72.19
Bret Michaels,2,855725.47,12508,71.06
Zac Brown,1,855126.75,7742,110.45
Josh Gates,10,854863.18,14629,59.38
TV Girl,2,854260.17,16112,50.82
"""CCXP""",1,853662.2,24607,34.69
Babasónicos,3,849590.3,22759,36.65
"Ms. Lauryn Hill, The Fugees",1,839809.26,8315,101.0
"""The Queens of R&amp;B Tour"", XSCAPE, SWV",1,839209.5,10102,83.07
HAUSER,4,836694.5,9119,89.22
Jim Gaffigan,1,826151.77,10871,76.0
"""Funk Flex Winter Fest""",1,820764.1,10614,77.33
The Basement Yard,2,820340.5,14744,52.0
A Perfect Circle,1,818100.0,13060,62.64
Spanish Riding School of Vienna,3,815143.03,7988,101.24
"""FBLO Festival"", Sting",1,811840.81,8500,95.51
Niki,6,810600.84,16206,54.86
Arkells,6,810073.34,18589,41.61
Wos,7,809587.96,20111,42.73
Peter Frampton,3,796959.69,8439,102.21
"Indigo Girls, Amos Lee",2,796114.4,13641,58.08
Morad,1,794077.62,13458,59.0
The Coronas,7,792897.99,14771,49.62
Brutalismus 3000,5,792583.95,17984,41.25
