Headliner,Count,Total_Gross,Tickets_Sold,Avg_Ticket_Price
Coldplay,16,409734237.4,3188778,128.63
P!NK,44,305974436.87,2267714,152.82
Bruno Mars,24,230707028.74,1865398,120.46
Bad Bunny,46,207303216.16,703846,292.26
Metallica,21,179373637.38,1500311,121.36
Eagles,40,168150846.73,574612,290.6
Olivia Rodrigo,64,165965299.51,1289014,131.12
Justin Timberlake,53,161932316.69,922050,176.55
Bruce Springsteen &amp; The E Street Band,23,155773766.46,1035372,164.1
Madonna,26,135370066.65,637886,213.17
Dead &amp; Company,10,131449779.68,476945,275.15
Usher,30,130690750.77,801548,163.26
Travis Scott,33,123021489.91,1043366,124.83
Pearl Jam,19,121388609.61,779639,163.6
Nicki Minaj,70,110001928.25,807075,133.52
blink-182,42,109027978.76,983122,110.44
Green Day,27,104115959.02,897349,114.57
Chris Brown,31,87385812.42,568372,170.86
U2,1,84720544.0,249122,340.08
Noah Kahan,52,79622039.95,771554,101.99
Karol G,21,78532366.52,670189,109.31
Chris Stapleton,36,77323555.18,665096,116.64
Drake,16,73159797.25,346625,210.47
Jelly Roll,57,73002646.84,701313,103.11
Imagine Dragons,34,64823419.68,706595,92.89
Depeche Mode,25,64629397.45,470756,137.78
Post Malone,22,62998572.0,469651,137.21
Creed,53,61326867.92,782899,83.0
Feid,28,60742237.87,680154,101.06
Trans-Siberian Orchestra,60,60670164.45,735654,81.74
Peso Pluma,34,59424150.19,468910,130.27
Twenty One Pilots,40,56716720.14,468210,118.83
Billie Eilish,12,56423407.67,328628,169.1
Sebastian Maniscalco,43,56272258.65,545436,97.66
Hozier,57,55971723.9,981576,57.51
Foo Fighters,12,53156702.01,413232,125.48
Niall Horan,61,53005350.91,818979,65.61
"Billy Joel, Sting",5,51188772.35,217919,234.19
Tim McGraw,45,50999873.55,465817,110.22
Dave Matthews Band,30,47738415.9,527735,100.74
Melanie Martinez,37,47611379.31,472328,100.59
"Def Leppard, Journey",13,45835107.79,384995,118.95
Phish,10,44453370.03,400523,100.29
Fuerza Regida,22,43721688.72,326685,135.57
Missy Elliott,26,42497725.02,319411,132.49
"Journey, Def Leppard",11,39925174.0,350463,115.64
Janet Jackson,38,39701170.88,418986,96.1
Tyler Childers,31,39075121.74,464178,84.69
New Kids On The Block,44,38515004.69,501869,79.5
Jeff Lynne's ELO,19,37371574.12,258055,143.3
Luke Bryan,32,36724203.04,485019,77.14
AJR,47,35525266.67,473011,75.61
Pitbull,26,34818125.0,504061,70.26
Red Hot Chili Peppers,19,34136109.8,405349,162.07
Sting,32,32520377.29,274803,136.91
