Venue Type,Count,Total_Gross,Num_Shows,Tickets_Sold,Avg_Ticket_Price,Avg_Gross_per_Show
Amphitheatre,1078,766285821.88,1127,12061447,60.77,663949.91
Arena,2283,3230549890.71,2604,27199211,102.01,1146514.05
Club,2482,123780933.71,2545,2575388,34.17,46729.85
Other,417,172673184.37,490,2059428,54.26,366255.09
Stadium,483,3192844413.68,623,25378535,116.96,4777206.99
Theater,2410,619677133.31,3300,7890435,66.28,194588.18
