Headliner,Count,Total_Gross,Tickets_Sold,Avg_Ticket_Price
"""Festival Estereo Picnic""",1,10077304.52,93630,107.63
Sam Fender,5,10069034.54,124226,75.39
Jelly Roll,9,10026266.75,120222,85.07
Styx,33,9790936.02,163775,60.76
Rascal Flatts,11,9575464.91,97821,98.96
David Byrne,10,9545607.8,67816,138.41
Vasco Rossi,1,9536547.65,111263,85.71
Billy Idol,12,9353267.15,119279,79.55
"""Les Misérables""",3,9311847.3,110499,84.1
Giveon,19,9274308.62,119788,76.05
Reneé Rapp,12,9202513.28,105913,86.95
Vybz Kartel,6,9086908.01,70501,131.56
Don Toliver,19,9032674.43,124898,72.29
Kelly Clarkson,9,8660326.46,37119,232.51
Bad Omens,14,8569424.64,116874,76.3
Caifanes,9,8568130.06,163240,60.47
"Jorge Medina, Josi Cuen",1,8463851.49,109765,77.11
"""Reggae Fest - The Return Of Vybz Kartel"", Vybz Kartel",1,8382799.5,31126,269.32
Dave Chappelle,5,8311587.78,64748,124.93
Simply Red,7,8304620.05,83682,102.97
"""World Wrestling Entertainment""",3,8241207.16,36670,224.41
"""Werchter Boutique"", Imagine Dragons",1,8191915.99,55000,148.94
"Billy Joel, Sting",1,8173873.25,46598,175.41
Jason Aldean,7,8109101.5,102261,90.08
Bunbury,6,8088982.23,103544,84.41
Jessie Murph,35,8077397.82,160254,50.74
Ricky Gervais,14,7968686.22,117013,67.55
Keith Urban,11,7745402.54,109479,71.39
"""Longitude""",1,7621036.55,47209,161.43
Hombres G,5,7590615.78,94102,92.91
Latin Mafia,19,7560424.71,135175,53.17
Lionel Richie,5,7480041.27,46905,219.01
Maluma,4,7389121.29,71728,113.0
Doja Cat,4,7384674.46,59032,124.08
Nelly,14,7286567.52,128402,59.89
Pantera,9,7226719.39,86179,83.41
Mora,7,7132543.1,86587,84.71
Duki,18,7116071.96,102529,62.05
"""Festival Cordillera""",1,6960323.37,69345,100.37
Noah Kahan,2,6886844.45,64735,100.72
NCT Dream,1,6839145.47,38798,176.28
Panteón Rococó,2,6762288.28,126863,49.18
Palomazo Norteño,7,6713743.18,64559,112.05
"Tina Fey, Amy Poehler",6,6691483.62,42396,156.55
ZZ Top,24,6625934.3,74723,87.91
mgk,9,6619898.1,79592,82.12
Limp Bizkit,6,6516094.4,69135,94.11
Lil Baby,8,6480654.87,78029,82.52
Grupo Firme,1,6465668.54,100953,64.05
Conan Gray,9,6277515.44,84050,74.67
Peter Kay,7,6268506.16,72026,89.01
Jeff Lynne's ELO,3,6209964.43,39079,159.23
Toto,9,6203235.76,77315,81.96
"""Tecate Comuna""",1,6061181.89,64160,94.47
"""C2C: Country to Country""",5,6003483.05,32729,161.73
David Gray,26,5975379.15,72282,85.44
Scissor Sisters,10,5931552.8,67596,86.16
Ice Cube,18,5914097.52,81614,71.1
"Kaytranada, Justice",6,5750695.59,62957,88.2
Korn,7,5720587.1,79748,71.79
Natalia LaFourcade,12,5663872.37,72745,79.46
Alanis Morissette,4,5572758.53,66404,86.15
Stereophonics,4,5526978.71,67106,73.01
Tom Segura,12,5526301.05,79997,72.44
Sammy Hagar,9,5482293.0,28652,191.2
BabyMonster,7,5423739.35,45944,112.77
Paulo Londra,5,5421114.76,71616,79.14
Pentatonix,7,5408449.45,73951,73.73
Brooks &amp; Dunn,5,5363456.75,58960,91.51
Snow Patrol,6,5274884.05,68743,75.26
"""Disney On Ice""",5,5172183.64,91930,56.23
