Venue Type,Count,Total_Gross,Num_Shows,Tickets_Sold,Avg_Ticket_Price,Avg_Gross_per_Show
Amphitheatre,939,638370583.1,970,9780494,64.79,646092.13
Arena,2414,3042048735.61,2719,27619556,97.76,1056818.68
Club,2674,102074166.3,2727,2227558,33.49,36529.3
Other,287,148910142.7,320,1573805,53.16,392393.86
Stadium,666,4176034718.37,851,31052041,111.37,4437112.46
Theater,2643,562306090.53,3285,7305868,63.03,169909.79
