Venue Type,Count,Total_Gross,Num_Shows,Tickets_Sold,Avg_Ticket_Price,Avg_Gross_per_Show
Amphitheatre,249,229139148.24,265,3111384,71.26,845097.91
Arena,1144,1702543336.2,1301,14128281,103.5,1213424.99
Club,1065,44682826.34,1091,975092,34.39,40601.7
Other,110,50697043.65,124,504433,50.26,376353.09
Stadium,178,1419408526.62,232,10335032,126.86,5778309.42
Theater,1160,266444112.95,1654,3353562,68.96,188161.68
