Headliner,Count,Total_Gross,Tickets_Sold,Avg_Ticket_Price
Bad Bunny,25,315344324.82,2318451,135.6
Noah Kahan,16,153824156.58,933109,163.81
"Chris Brown, Usher",12,153421356.63,863336,170.62
Lady Gaga,14,131822697.65,575395,264.39
TWICE,31,98776009.3,814619,139.29
System Of A Down,7,94303921.26,678130,138.19
AC/DC,7,78722339.26,525754,150.28
Ariana Grande,10,78130384.67,459355,171.62
Karol G,8,74029709.29,340753,213.65
Pitbull,25,73522079.83,698125,105.68
Rüfüs Du Sol,29,72246132.56,720094,91.25
Cardi B,32,70034411.48,453043,151.32
Eagles,14,66717468.01,228999,291.36
Backstreet Boys,22,65874897.35,366773,179.58
"Ne-Yo, Akon",50,60965720.98,813800,75.46
Bruce Springsteen &amp; The E Street Band,12,59126355.0,236259,257.07
Peso Pluma,31,58401177.04,475361,121.62
No Doubt,18,56524707.9,287287,195.98
Phish,10,56296134.95,403800,128.57
Linkin Park,8,55641409.38,395796,140.03
"""Lollapalooza Argentina""",3,53524544.48,285000,187.8
Fuerza Regida,9,53216393.68,368730,144.16
Alex Warren,48,51379191.81,656689,79.73
Luke Combs,8,49205365.6,378065,124.9
J. Cole,14,48060626.3,320467,149.43
Don Toliver,36,44009240.24,482349,91.16
BTS,1,43477765.51,145763,298.28
Dave Matthews Band,22,40288083.74,383405,108.76
Hilary Duff,25,34447996.71,437229,79.11
Shakira,9,32358061.19,218535,149.1
Bon Jovi,3,31408392.79,126057,249.17
Nine Inch Nails,23,30652056.71,263377,116.21
Rosalía,15,29303110.77,221966,130.08
Matt Rife,27,29130013.45,337581,86.31
ILLENIUM,11,29064004.39,178852,162.51
"""Dancing With The Stars Live""",66,26173432.59,264178,98.27
"""EDC Week""",1,25946976.77,319801,81.13
Florence + The Machine,18,25025607.36,239105,103.35
mgk,33,24101466.34,392833,65.93
Rush,4,22735768.36,95305,228.38
Def Leppard,20,20968298.43,149830,164.92
Guns N' Roses,10,18833770.81,138234,136.65
"""Lollapalooza Chile""",1,18609724.55,170164,109.36
Los Bukis,2,18550817.0,130478,136.34
Bad Omens,19,17736340.22,214644,82.63
My Chemical Romance,2,17070434.99,159231,107.76
HARDY,27,16375301.91,237365,72.05
Bailey Zimmerman,29,16298162.31,244675,67.84
Conan Gray,18,15499792.08,195511,80.46
Tyler Childers,15,15297566.15,161684,83.04
"""Weird Al"" Yankovic",38,13592561.57,214516,64.61
Diljit Dosanjh,7,13462516.5,91585,132.29
Mumford &amp; Sons,7,13348752.07,121254,107.95
The Weeknd,3,11925869.94,153920,77.44
A$AP Rocky,10,11129378.22,111012,99.15
Raye,11,11026940.27,131210,78.73
Zayn,10,11001721.92,88975,130.8
"""Vive Latino""",1,10873074.46,149348,72.8
"""Festival Estereo Picnic""",1,10741302.81,88198,121.79
Dave,10,10502929.07,113952,88.73
Iron Maiden,3,10319664.26,99466,103.83
Shinedown,19,10316583.0,128335,80.46
Rod Stewart,9,10280896.01,91280,113.91
5 Seconds Of Summer,14,10180484.45,132340,74.13
Deftones,5,9849271.76,92187,104.04
Ricardo Arjona,7,9568240.98,77417,124.7
Daniel Caesar,7,9357310.73,87770,106.43
The Neighbourhood,8,8975936.53,103265,85.18
Mary J. Blige,10,8693683.0,43000,205.27
Big Time Rush,11,8691263.17,82462,94.41
Eric Clapton,1,8673213.93,15996,542.21
Jack Johnson,7,8637409.32,110886,80.22
"""The Phantom Of The Opera""",28,8520196.94,85164,99.16
Rawayana,10,8311179.27,126743,63.49
Olivia Dean,5,7850024.13,80832,94.15
Grupo Firme,1,7802664.48,114014,68.44
"""I-Days Festival"", System Of A Down",1,7794625.03,77120,101.07
Marco Antonio Solís,4,7788924.86,82827,96.21
New Kids On The Block,16,7654778.0,55262,138.9
Jonas Brothers,8,7570753.27,69046,117.36
Joji,10,7434965.61,80328,90.17
Miguel,27,7088386.91,119564,58.15
Mon Laferte,7,6744522.1,80498,80.82
"""C2C: Country to Country""",5,6549878.48,46229,71.66
The Offspring,14,6519893.15,94364,72.9
"Avenged Sevenfold, Good Charlotte",9,6510173.22,114603,57.46
"""The Lion King""",24,6450516.82,82557,77.84
Three Days Grace,13,6446787.98,100380,65.48
Kali Uchis,8,6349272.22,71977,86.41
Chayanne,3,6324424.43,43798,144.17
Summer Walker,7,6282481.62,64022,94.05
Bring Me The Horizon,6,6186206.93,69575,88.78
Melanie Martinez,7,6182613.29,59099,102.82
Caifanes,4,6108177.45,116039,55.27
Lionel Richie,5,6077257.37,55323,106.27
Biffy Clyro,8,5947295.96,70730,79.71
Avenged Sevenfold,2,5875413.06,60253,94.25
Xavier Naidoo,4,5661512.0,45500,123.86
Rascal Flatts,9,5653095.9,80832,70.33
"""Braves Country Fest""",1,5530311.25,38155,144.94
Ghost,6,5286254.9,49135,108.02
Riley Green,6,5277979.5,77756,69.4
Doja Cat,5,5265293.08,53452,94.92
Demi Lovato,6,5172572.48,57539,90.97
