Headliner,Count,Total_Gross,Tickets_Sold,Avg_Ticket_Price
BLACKPINK,1,19938131.35,113498,175.67
Big Time Rush,41,19641829.47,326005,62.0
Avenged Sevenfold,31,19291601.8,319356,62.2
Sam Smith,20,19240220.78,244615,77.92
Sting,22,19148742.91,201012,103.91
Foreigner,35,18948303.23,341718,60.4
Hozier,33,18927091.65,344502,55.35
Thomas Rhett,26,18914893.72,277181,68.49
Helene Fischer,7,18845141.14,118238,200.88
Disturbed,32,18796695.38,358700,53.81
Mariah Carey,11,18316023.16,148143,123.67
Bryan Adams,35,17590126.42,225968,78.86
"""Coca-Cola Flow Fest""",1,17543133.61,178830,98.1
Trevor Noah,26,17538654.27,262825,71.74
Slightly Stoopid,25,17485383.5,216868,83.73
Anita Baker,15,17312150.98,139272,125.47
Brooks &amp; Dunn,16,17309336.74,178893,100.5
Lady Gaga,12,17030118.0,58668,289.51
Noah Kahan,38,16988120.93,306333,55.51
Paul McCartney,2,16966198.16,117305,144.64
NF,31,16936285.34,270530,60.91
"""Electric Daisy Carnival"" (Mexico)",1,16440970.85,279894,58.74
"Mötley Crüe, Def Leppard",7,15966563.76,172941,96.83
Ghost,25,15956833.51,233591,70.06
Matt Rife,38,15799677.24,198325,77.05
"Tina Fey, Amy Poehler",13,15609224.0,96878,187.68
HARDY,35,15573518.84,186364,79.61
Dermot Kennedy,24,15536037.97,264693,53.77
5 Seconds Of Summer,30,15409893.55,252273,61.82
Chris Stapleton,11,15339749.0,148679,103.49
Muse,6,15314285.11,209362,82.49
Stray Kids,5,14709439.06,116221,119.94
Melanie Martinez,33,13673892.66,204482,66.46
The Chicks,16,13279366.5,155311,85.25
Doobie Brothers,35,13254686.11,171872,84.15
"Canelo Alvarez, John Ryder",1,13150065.55,44835,293.3
Feid,14,13036042.23,115851,115.24
Michael Bublé,13,13005270.15,119263,107.16
"The Offspring, Sum 41, Simple Plan",24,12728162.5,367347,35.73
"""Vive Latino""",1,12610064.56,155847,80.91
Alejandro Sanz,12,12469227.08,132408,95.68
Aerosmith,3,12377079.0,53456,231.7
Rauw Alejandro,9,12158193.7,171854,72.62
Kali Uchis,27,12034153.02,163952,76.74
Tyler Childers,16,11967457.72,162710,75.62
"Cirque du Soleil - ""Corteo""",3,11670272.69,117594,103.54
The Smashing Pumpkins,24,11652652.99,256036,47.9
Alejandro Fernández,13,11539013.09,136385,92.16
The Killers,11,11120869.78,137182,84.81
Morat,10,10999298.81,165653,74.91
Kirk Franklin,21,10997635.59,156197,71.27
Kelly Clarkson,11,10929508.6,56202,185.68
Alicia Keys,17,10911765.69,143012,77.07
Tool,9,10696472.32,84747,127.54
Pentatonix,17,10441251.09,155480,65.26
Weezer,20,10308605.73,182969,59.09
The 1975,10,9636564.95,148423,63.64
Kid Rock,5,9626964.95,70922,137.73
Subtronics ,39,9413322.02,179220,47.58
Dierks Bentley,18,9377751.64,233667,41.29
Parker McCollum,23,9210156.85,162270,57.77
My Chemical Romance,4,9072332.02,87792,101.27
"""Anastasia""",21,8957231.69,115352,79.12
"""Festival ARRE HSBC""",1,8913877.63,123381,72.25
3 Doors Down,37,8900488.35,202319,48.96
Vasco Rossi,1,8553588.94,115018,74.37
"ZZ Top, Lynyrd Skynyrd",12,8390254.0,140048,59.85
Goo Goo Dolls,30,8349188.07,163528,54.96
Jimmy Buffett,5,8334691.0,67908,125.45
Rels B,10,8318599.34,134519,63.73
Marc Anthony,8,8160816.24,56880,158.31
"The Postal Service, Death Cab For Cutie",6,8004172.91,93399,71.15
Brett Goldstein,12,7984170.02,72413,108.84
Jelly Roll,9,7871546.8,125278,64.38
Billy Strings,15,7789810.37,136765,56.26
Lauv,11,7754940.35,101475,75.18
"Lynyrd Skynyrd, ZZ Top",11,7484561.0,147646,51.64
Måneskin,10,7294440.16,106076,70.03
Yellowcard,26,7208904.5,132237,54.18
Bill Burr,11,7179188.27,70647,104.17
Lil Uzi Vert,8,7178194.91,74407,96.48
Ha*Ash,23,7134399.85,117691,69.15
Chelsea Handler,35,7122734.58,87058,82.65
Sebastian Maniscalco,5,7114465.48,52137,134.29
Macklemore,23,6980442.63,132445,51.59
Rüfüs Du Sol,8,6976214.64,100659,67.64
Bono,4,6773556.0,30067,224.67
"Cirque du Soleil - ""Bazzar""",6,6554524.96,91796,71.5
"""Werchter Boutique""",1,6510280.76,62000,105.0
"""Pinkpop""",1,6495999.46,63000,103.11
Foo Fighters,7,6450109.85,83438,84.3
JLS,10,6388347.71,106961,61.85
Fall Out Boy,4,6387553.0,82110,75.96
"""Disney On Ice: Frozen &amp; Encanto""",4,6360328.67,111496,59.46
"Chris Rock, Dave Chappelle",3,6252684.0,47613,131.29
Ricky Gervais,14,6238036.39,104678,59.52
"""Aladdin""",14,6179863.86,100219,58.83
Reba McEntire,6,6133722.25,57426,106.21
Simply Red,12,6091601.76,73876,86.84
Micky Flanagan,8,6051415.86,140241,49.35
Lewis Capaldi,14,6026731.75,111071,55.65
Burna Boy,6,6008565.53,70651,87.5
A Boogie Wit Da Hoodie,19,5996317.79,117712,48.91
aespa,10,5743138.49,55316,98.42
Chicago,25,5722850.34,72291,86.2
Young The Giant,30,5702995.45,130103,43.68
Luke Combs,2,5591528.61,70341,75.39
Emmanuel &amp; Mijares,7,5582201.26,71399,77.23
"""The F.O.R.C.E Live"", LL COOL J",7,5497961.53,58180,95.58
Wisin &amp; Yandel,3,5420256.97,83635,72.93
Queens of The Stone Age,12,5368707.56,81244,63.57
Billie Eilish,2,5336303.13,65081,92.11
"""Tecate Emblema""",1,5288220.77,80861,65.4
Seal,25,5177002.5,57246,137.06
Jill Scott,11,5166723.7,52503,94.05
"""AXE Ceremonia Festival""",1,5142280.89,72785,70.65
"""The Illusionists""",7,5135088.49,60200,85.86
Tiziano Ferro,1,5100935.46,93293,54.68
"""Rock In Roma"", Imagine Dragons",1,5034087.5,68494,73.5
Tedeschi Trucks Band,10,5027645.0,59584,80.84
Grupo Firme,1,5009093.03,119350,41.97
Banda MS,4,4822999.23,43208,98.79
Tom Segura,17,4810032.9,88687,52.24
Jon Pardi,10,4645972.03,70485,65.4
"""Echos Through The Canyon""",1,4563904.0,60644,75.26
Louis Tomlinson,11,4556026.64,81485,56.13
Tom Jones,8,4425038.06,45122,107.3
John Mulaney,14,4418282.54,51330,93.26
21 Savage,8,4406851.73,58406,72.89
Paolo Nutini,3,4389275.95,66949,65.42
"""Tecate Comuna""",1,4384562.13,60386,72.61
Caifanes,10,4351102.38,78893,66.36
Florence + The Machine,4,4344018.59,65854,66.17
Napoleón,12,4241879.05,78700,58.62
Daniel Caesar,9,4216855.12,70481,61.38
"""Festival Cordillera""",1,4195441.1,30150,139.15
Godsmack,13,4195030.24,79568,60.15
Eric Clapton,2,4193303.33,27945,150.34
Myke Towers,12,4159487.38,66682,69.14
Natalia LaFourcade,6,4079565.24,55610,73.24
Peter Kay,2,4068089.31,48575,83.68
Tears For Fears,7,4055911.3,55831,70.72
OV7,10,4022028.98,71185,63.08
Iván Cornejo,21,3967656.98,65657,55.72
Arcángel,8,3911993.99,49610,76.98
Koe Wetzel,13,3876556.59,75590,52.4
Lindsey Stirling,18,3869733.58,67391,60.83
Cody Johnson,6,3861191.14,60568,63.94
Bobby Weir And Wolf Bros,11,3844053.01,39909,87.5
Beck,9,3808432.5,58629,66.3
"Kimberly Loaiza, JD Pantoja",8,3768726.97,75896,46.46
John Oliver,8,3746792.0,34612,109.79
Los Ángeles Azules,8,3726612.04,54532,80.12
Jordan B. Peterson,12,3712407.05,54260,68.26
"Def Leppard, Mötley Crüe",2,3658284.0,37038,99.44
"""Hot Wheels Monster Trucks Live""",3,3613454.7,75538,47.38
Raphael Saadiq,13,3583201.15,40273,89.46
"""Festival Vaivén""",1,3494917.17,32358,108.01
Los Fabulosos Cadillacs,4,3411362.45,59164,59.61
"""Crossroads Guitar Festival""",1,3367005.0,25006,134.65
"""My Therapist Ghosted Me"" - Podcast",9,3347086.1,54079,59.56
Roberto Carlos,9,3320366.1,40158,91.97
Snoop Dogg,4,3309695.63,50063,70.42
Danna Paola,12,3305668.1,52382,68.05
"""It's Time""",17,3293136.35,46351,71.59
Picture This,8,3290821.56,56421,57.01
"""Rock In Roma"", Guns N' Roses",1,3249064.99,38780,83.78
"""Corona Capital Guadalajara""",1,3233169.88,40280,80.27
Pablo Alborán,9,3233019.05,42921,80.98
The Lumineers,6,3216392.76,54340,57.44
María José,8,3125111.05,68557,45.48
Cigarettes After Sex,12,3119581.33,68384,45.95
"""Catbird Music Festival""",1,3113956.0,23241,133.99
The National,6,3052916.21,53939,60.77
Widespread Panic,4,3044552.0,43078,69.74
"""Dale Mixx""",1,2969275.22,39182,75.78
Ali Wong,5,2956705.25,32870,88.91
Mayday,2,2929030.74,17302,172.34
Excision,1,2887490.0,46273,62.4
The Judds,7,2879616.63,35718,80.41
Jeff Dunham,7,2865973.31,40487,71.95
Jack Harlow,4,2827237.63,29151,95.72
"""Festival Internacional Del Globo""",1,2818262.22,115345,24.43
The Revivalists,11,2806828.58,50746,53.37
Siddhartha,2,2793811.6,58476,44.92
"""The Nutcracker""",1,2782340.42,69516,40.02
Sam Hunt,6,2764268.0,59155,54.37
Geddy Lee,14,2686731.0,23158,113.88
Leo Dan,3,2621735.5,25971,100.41
"""Disney On Ice: 100 Years of Wonder""",1,2611736.22,48943,53.36
The Australian Pink Floyd Show,18,2591101.22,45889,57.72
Aya Nakamura,1,2557282.45,45138,56.65
Charlie Puth,7,2549608.91,34636,71.23
"""Country 2 Country Festival"" (Glasgow)",1,2534016.46,17914,141.45
Rob Zombie,4,2524061.8,43476,60.0
Ricardo Arjona,1,2516119.85,52616,47.82
Pete Tong Ibiza Classics,2,2488493.86,31554,72.9
Don Toliver,7,2488385.73,38199,66.49
"""Music Bank K-Pop Festival""",1,2466356.22,14261,172.94
Heart,3,2435268.5,19881,137.0
Nothing But Thieves,16,2399513.75,55649,35.78
Jodeci,6,2393889.03,33655,78.45
Needtobreathe,11,2382758.78,45197,73.37
ILLENIUM,4,2380614.5,54106,49.81
"""RuPaul's Drag Race""",12,2371648.25,34684,69.39
Yungblud,10,2369461.61,54052,43.21
Counting Crows,10,2356807.28,37895,69.21
Chris Tucker,12,2350503.75,35479,67.26
Janelle Monáe,7,2292618.7,26698,82.25
"""Pixar World""",3,2276061.9,59340,38.36
Blur,2,2228401.69,30803,44.86
Toby Keith,3,2228185.0,15408,144.61
"""Farm Aid""",1,2226200.0,21706,102.56
John Fogerty,6,2202912.65,23896,103.63
"""Outlaw Music Festival"", Willie Nelson",4,2192429.5,37832,61.21
Chance The Rapper,2,2160801.5,24533,88.3
Lil Tjay,9,2144897.69,41078,51.98
Café Tacvba,3,2142939.98,41812,55.83
"""Pulso GNP""",2,2133092.43,32319,62.46
Megadeth,8,2109598.98,39658,52.9
Key Glock,28,2108041.5,51212,41.31
George Ezra,4,2069550.64,37377,56.46
Tame Impala,1,2026479.29,39293,51.57
Christian Nodal,1,1961572.9,53528,36.65
Zac Brown Band,2,1959155.0,38658,52.96
New Order,3,1959084.66,26635,73.56
Neil Young,2,1955785.0,11678,167.46
Leon Larregui,10,1946591.26,40468,47.59
"""The Always Sunny Podcast LIVE!""",2,1944953.82,26859,71.9
Andrew Schulz,10,1943681.01,29443,67.36
The Chemical Brothers,4,1932945.21,33566,57.82
"""Strength of a Woman"", Mary J. Blige, Ms. Lauryn Hill",2,1926329.0,19775,96.64
Michael McIntyre,3,1914888.56,26580,72.04
"""Zamna Festival""",1,1908987.21,25256,75.59
Panic! At The Disco,4,1905090.66,33122,58.04
Leona Lewis,11,1885954.13,30494,62.62
Bjork,1,1872561.21,9388,199.46
Brian Regan,16,1863783.35,29227,63.1
NCT 127,1,1863312.62,15979,116.61
"""Masters Of The Mic: Hip Hop 50""",1,1817870.0,14961,121.51
The Sisters Of Mercy,12,1809491.83,31678,53.94
"Cirque du Soleil - ""Kooza""",1,1794932.31,17359,103.4
Eric Prydz,1,1782021.12,18234,97.73
"BABYMETAL, Metalocalypse: Dethklok",5,1761018.5,26558,59.11
LL COOL J,3,1752696.0,23574,74.78
Ashnikko,18,1739777.19,50519,33.75
Jay Shetty,8,1735207.13,23215,76.98
"""Cirque Musica - Querida""",16,1688713.29,48095,35.49
Noel Gallagher's High Flying Birds,4,1679897.03,26459,66.87
James Taylor,2,1676951.0,18209,93.82
Nas,1,1663718.0,15026,110.72
Steve Miller Band,5,1648603.55,34549,50.09
Whiskey Myers,8,1636890.0,29930,54.39
"""The World Is A Vampire""",1,1630335.38,24112,67.62
Ray LaMontagne,10,1608942.85,21031,75.88
Hombres G,2,1604836.66,30310,52.94
Molotov,1,1597421.76,52100,30.66
Los Bukis,1,1592576.25,14080,113.11
6LACK,8,1591520.05,32877,45.97
"Ms. Lauryn Hill, The Fugees",1,1588754.7,14031,113.23
Ludovico Einaudi,5,1586414.66,19122,81.43
"""Kidz Bop Live""",9,1582181.77,41573,45.36
Deacon Blue,8,1576883.89,26257,58.01
YG,3,1563409.8,25275,61.67
Ishay Ribo,1,1560573.55,12243,127.47
The 2 Johnnies,2,1558232.02,27442,56.95
Elvis Costello &amp; The Imposters,6,1554353.5,20096,82.29
Jackson Browne,4,1545915.5,15857,92.1
Boris Brejcha,3,1545275.12,28128,47.97
Robert Plant and Alison Krauss,3,1528434.08,16554,101.04
Kenia Os,5,1526374.23,28114,52.21
Busted,3,1508786.01,25436,59.47
Odesza,4,1502738.43,31673,50.3
Quinn XCII,7,1502404.23,29462,49.1
Santana,3,1488726.0,14275,148.37
Lucero y Mijares,3,1482172.55,17354,96.7
Derek Hough,9,1480576.34,19648,75.62
El Alfa,1,1479135.65,12410,119.19
Carly Rae Jepsen,12,1473495.16,32672,41.23
P1harmony,7,1469505.83,16486,88.77
"""Power 105.1's Powerhouse""",1,1445643.25,15032,96.17
Louis C.K.,1,1444842.5,18852,76.64
Pantera,2,1438774.5,28641,50.18
Placebo,4,1419945.65,26655,53.98
"""California Mid-State Fair"", Luke Bryan",1,1393957.0,14206,98.12
Bret Michaels,7,1390764.0,38953,46.62
S Club,2,1379883.96,21406,64.5
Garbage,5,1373924.45,22350,61.76
Sam Fender,1,1371577.84,24954,54.96
Sublime With Rome,3,1364258.08,25406,49.66
The Beach Boys,10,1357257.88,21419,76.1
Inhaler,18,1355992.91,42877,28.6
Breaking Benjamin,5,1340194.0,24128,55.35
Lee Brice,5,1337516.39,31309,42.54
Air Supply,10,1317650.5,18632,72.7
The Prodigy,3,1312908.86,19649,66.54
Bryson Tiller,8,1310680.61,20692,62.99
CNCO,5,1304278.5,20447,65.89
TLC,5,1301889.15,43160,35.43
Billy Idol,6,1301137.5,15305,87.44
Brent Faiyaz,1,1296165.5,11326,114.44
"Daniel Caesar, Omar Apollo",1,1293403.0,12561,102.97
Jim Gaffigan,5,1283271.82,14356,85.19
Gunna,2,1276647.78,15694,81.24
Boy George,5,1272533.27,27933,48.21
"""Hot 97 Winter Jam""",1,1262113.78,14639,86.22
Logic,7,1260034.12,24897,49.8
The B-52's,1,1259110.5,13131,95.89
Brett Eldredge,3,1258995.5,17212,72.74
Kim Petras,6,1237909.19,19562,60.28
The Flaming Lips,11,1232522.43,22920,52.13
Madness,3,1227044.75,22191,55.42
Mastodon,4,1214677.6,22267,53.44
Goose,3,1214274.31,9888,76.47
Misfits,1,1212745.0,11800,102.78
Sabino,2,1211029.42,25234,48.64
Joji,2,1174463.03,11113,104.72
"""Belsonic"", Paolo Nutini",1,1171043.87,22004,53.22
"""Country 2 Country Festival"" (Ireland)",3,1169892.38,12760,91.26
The War On Drugs,4,1167548.4,19153,58.16
Kenny Wayne Shepherd,9,1161966.76,17003,65.61
"""Live Out""",1,1156840.43,17559,65.88
Diana Ross,4,1148637.0,8839,128.38
100 gecs,13,1128820.63,34093,32.93
Scouting For Girls,18,1114534.16,30611,36.22
Yeah Yeah Yeahs,3,1103225.64,18177,58.82
Pulp,1,1102606.73,19538,56.43
Journey,1,1101214.0,11181,98.49
Carlos Santana,1,1100621.75,16111,68.31
Volbeat,5,1087765.31,21867,49.75
Tim Dillon,13,1082736.99,21133,51.5
Bill Maher,5,1076778.5,11874,89.67
Grupo Arriesgado,1,1070903.0,11092,96.55
Kenny Loggins,3,1065721.0,14923,78.4
"""Belsonic"", Sam Fender",1,1062747.87,22000,48.31
Ringo Starr &amp; His All Starr Band,2,1060767.5,10149,105.48
Dominic Fike,4,1055874.1,20984,44.82
Pierce The Veil,5,1054889.75,16776,64.35
Pitbull,2,1047005.35,7936,138.73
Seven Lions,6,1044549.34,23389,41.5
Masego,11,1038262.5,21937,50.66
Michael Franti &amp; Spearhead,7,1036446.5,22507,45.85
All-American Rejects,4,1033855.8,18410,59.02
"""The Reunion Tour""",2,1033225.2,13851,74.91
AFI,1,1032877.0,14504,71.21
"""90's Pop Tour""",2,1029530.0,9980,103.04
Sophie Ellis-Bextor,14,1029469.13,18656,55.38
"Kreator, Lamb of God",7,1026686.44,19867,50.2
"Alex Cooper ""Call Her Daddy"" Podcast",4,1026652.5,14965,70.48
Miranda!,3,1023665.73,22647,43.55
"""Tecate Supremo""",1,1019998.18,14661,69.57
Hasan Minhaj,3,1017181.5,14241,70.63
Tori Amos,5,1016437.76,14383,69.44
Blue Rodeo,5,1008488.48,19984,50.32
HAUSER,2,1007207.8,15722,62.8
Maverick City Music,7,1006746.5,18028,56.02
Kehlani,3,1005387.32,16459,61.15
NAV,5,1005187.74,19754,48.78
Darius Rucker,3,996259.0,16379,61.18
Nikki Glaser,9,995026.86,17352,56.58
Aurora,2,991838.17,20395,50.9
Liz Phair,7,971157.27,13859,69.36
Franco Escamilla,1,970934.5,8012,121.19
Theresa Caputo,6,970351.05,9550,104.35
Pet Shop Boys,2,970117.96,10511,90.22
Yuridia,1,965659.31,18858,51.21
Incubus,4,965542.0,15478,62.61
Blue Man Group,1,963726.42,13215,72.93
"Kem, Ledisi",1,958424.0,9615,99.68
Tiësto,2,958036.99,16879,62.71
Avril Lavigne,1,957937.4,19720,48.58
"""All For The Hall Benefit""",1,953054.25,11687,81.55
Kevin James,9,946968.25,11844,84.22
The Saw Doctors,8,942633.74,18443,49.44
Kolohe Kai,2,941429.0,20381,46.72
Dinos,1,941392.12,19095,49.3
Walker Hayes,4,932210.5,19464,48.16
The Smile,1,928874.67,14403,64.49
"""Tecate Sonoro""",1,920233.13,12904,71.31
Hippo Campus,8,916434.59,24830,36.41
Daniel Tosh,5,915767.0,15267,59.98
Jason Bonham’s Led Zeppelin Evening,5,909510.0,19288,52.36
Hans Zimmer Live,1,905989.96,8371,108.23
"Jon Stewart, John Mulaney",2,905232.0,8335,114.94
Olly Murs,2,896371.1,17579,47.28
Train,4,894012.0,14620,82.85
Ne-Yo,3,892566.36,16028,56.21
Dreamcatcher,5,891949.4,9434,95.34
keshi,4,888712.47,18051,47.08
Colter Wall,6,886996.93,15687,56.69
Gladys Knight,7,885712.82,11457,78.83
Sin Bandera,2,884260.81,12235,89.26
Nick Offerman,6,873776.0,12339,71.49
"""Xmas Vibe""",1,870877.76,16228,53.67
"""Festival Coordenada""",1,869870.77,13490,64.48
"""Bely y Beto""",1,869700.34,17664,49.24
JVKE,14,868113.0,27911,30.18
"""Clubland Live""",2,866751.63,17350,49.8
Mike Epps,4,865390.95,10219,83.3
Intocable,1,858838.53,16857,50.95
Gov't Mule,6,858448.5,15595,53.08
Jay Wheeler,2,856021.03,10425,87.28
"John Oliver, Seth Meyers",1,848602.5,8249,102.87
"""L.A. Salsa Festival""",1,844033.31,7331,115.13
Tim McGraw,1,843317.0,14260,59.14
Jerry Seinfeld,2,838310.0,5504,152.3
Brandi Carlile,1,833752.75,9024,92.39
Paul Heaton,5,833183.11,19798,42.17
Ween,4,831753.5,13779,60.83
Yeat,3,831508.5,14355,57.55
Belters Only,2,826578.84,18202,46.36
Straight No Chaser,7,821495.32,12762,63.96
Tom Grennan,2,820156.6,17283,49.18
Kodaline,1,817989.84,14990,54.57
DLD,2,817125.05,19061,42.87
Babyface,4,813870.5,9763,86.24
Dwight Yoakam,4,810974.0,12126,72.37
Nathaniel Rateliff &amp; The Night Sweats,3,808140.0,13310,63.49
Barenaked Ladies,4,802204.0,19195,47.38
Lil Baby,1,801213.5,7759,103.26
Maluma,2,797087.18,8790,90.9
"""Belsonic"", Lionel Richie",1,796246.83,13323,59.76
The Isley Brothers,2,794778.0,8100,93.58
Pepe Aguilar,4,792146.75,12251,64.62
Davido,2,791451.0,15909,47.24
Meshuggah,6,785262.29,16359,48.94
Joé Dwèt Filé,1,784445.48,14284,54.92
Enjambre,3,777852.85,18998,37.64
ONEUS,6,775733.05,9632,81.24
All Time Low,5,770053.58,13394,53.9
"John Mulaney, Pete Davidson",2,767322.5,7480,102.46
Cake,2,762820.0,12782,59.35
Diana Krall,4,761728.96,9480,71.94
"""Stone Soul Music &amp; Food Festival"", Kem",1,758611.0,9520,79.69
Eladio Carrión,2,758341.0,7912,90.4
Inspector,2,757738.57,22924,33.32
Van Morrison,2,756233.77,5379,137.79
Lady A,4,753330.08,8726,89.24
Amanda Miguel,3,752668.78,22748,33.37
Flume,2,751351.05,11693,64.59
"Four Tet, Fred again.., Skrillex",1,748767.0,15412,48.58
"""Bad Friends Podcast""",6,746283.19,13363,54.94
Jason Mraz,4,743569.0,16760,44.49
The Deck Investigates,4,741450.0,10897,67.68
The Coronas,3,739800.3,14338,42.82
"""Tecate Peninsula""",1,735390.03,12352,59.54
"Beck, Phoenix",1,729809.5,10603,68.83
Shirin David,1,724951.15,10218,70.95
boygenius,1,724699.8,12135,59.72
Mudvayne,4,723789.52,15858,46.87
Pat Benatar &amp; Neil Giraldo,4,722905.1,9762,83.37
The Rose,2,721232.0,9392,76.48
Bronco,2,721109.3,7795,91.24
Jethro Tull,2,713452.0,7508,98.65
Colin Jost,4,713000.4,13384,59.75
Kane Brown,1,711979.0,15527,45.85
Elle King,10,711970.5,15504,48.73
Aaron Lewis,4,708690.5,9511,78.06
"Pixies, Modest Mouse",2,706194.5,12163,56.01
Hollywood Vampires,2,703260.5,12223,58.24
Chevelle,2,698419.8,15136,44.68
Gabriel Iglesias,2,695882.0,7745,89.71
Willie Nelson,2,694779.0,8002,86.48
Buddy Guy,4,694775.0,9839,72.76
"""Dancing With The Stars Live""",5,693054.5,10158,66.74
Santa Fe Klan,1,691741.0,7383,93.69
"""Belsonic"", George Ezra",1,690031.71,10372,66.53
The Mars Volta,3,686496.73,11225,71.82
Jonathan Lee,1,685569.16,6274,109.27
You Me At Six,3,684276.42,16637,40.4
Kraftwerk,2,684210.72,12673,54.06
Cian Ducrot,12,682621.43,20154,33.35
City Morgue,13,676805.87,20732,32.25
Carla Morrison,3,675743.58,12050,58.42
Becky Hill,2,673432.29,12696,52.5
Bush,6,671995.15,10650,65.46
Chris Distefano,3,668234.0,11635,58.0
"""KDAY Krush Groove""",1,663920.0,7430,89.36
Pixies,2,663611.84,10842,65.72
Joe Bonamassa,2,656929.75,8033,95.02
"""Love Rising: Let Freedom Sing (and Dance)""",1,652447.0,9606,67.92
"""Gift Grub Live"" Starring Mario Rosenstock",24,648227.21,15241,41.74
Anne-Marie,1,645253.78,11339,56.91
SLANDER,3,644703.5,14595,42.99
I Prevail,3,643428.1,19665,30.23
Run The Jewels,1,639531.0,11793,54.23
Peter Frampton,3,639366.7,5534,124.23
Black Veil Brides,7,638357.85,14966,38.98
Falling In Reverse,2,627190.0,12211,54.21
Owl City,16,626988.5,20708,30.34
Tenacious D,2,626176.6,10823,58.78
"Squeeze, The Psychedelic Furs",2,624119.1,6811,89.96
Ava Max,17,622576.25,20937,29.82
Baylen Levine,13,620495.0,11983,52.86
John Legend,1,619770.5,5534,111.99
Dita Von Teese,4,617470.01,10515,57.4
The Warning,6,614253.2,15379,39.41
Rick Springfield,4,609516.0,12333,56.64
"Jon Stewart, John Mulaney, Pete Davidson",1,608382.5,3715,163.76
REO Speedwagon,4,601571.46,9250,67.8
Sentidos Opuestos,2,599840.1,7921,68.39
"""KTBZ Buzzfest""",1,599127.0,10457,57.29
Paquita La Del Barrio,1,599017.5,5193,115.35
