Headliner,Count,Total_Gross,Tickets_Sold,Avg_Ticket_Price
Beyoncé,39,579813546.38,2776854,201.86
Coldplay,22,393066135.2,3341368,125.52
Morgan Wallen,44,280450403.83,1387974,204.09
Harry Styles,26,252490036.3,2118887,129.43
The Weeknd,41,212491887.36,2268916,95.61
P!NK,33,211782582.12,1169881,195.06
RBD,33,192554752.54,1152243,208.29
Bruce Springsteen &amp; The E Street Band,28,163761267.73,1175335,184.65
U2,2,159758359.0,413410,383.92
Drake,24,158743930.74,611989,261.86
Metallica,12,146435306.85,1322401,111.35
Karol G,12,138444955.0,758902,172.52
Red Hot Chili Peppers,26,128584103.78,1115558,116.55
Eagles,29,118468239.25,454602,255.98
Depeche Mode,42,117146895.56,988726,139.23
Shania Twain,67,113556687.22,1077839,108.05
Guns N' Roses,38,108734328.13,996186,115.56
Jonas Brothers,54,106090186.33,884756,119.49
blink-182,38,95383695.59,675024,140.19
Post Malone,42,90118005.04,888580,103.48
Madonna,14,86454670.75,461825,184.52
"Billy Joel, Stevie Nicks",8,85286481.47,420266,203.27
Dead &amp; Company,16,75230282.0,552115,129.48
Travis Scott,26,70636829.68,509997,138.09
SZA,35,65766491.1,509296,128.19
Peso Pluma,38,63240757.75,509698,132.88
50 Cent,51,61453447.88,731749,86.08
Dave Chappelle,31,60431094.54,464655,121.43
Peter Gabriel,46,59890551.51,464545,129.03
Usher,24,59468347.0,228582,280.47
John Mayer,31,58465840.3,410508,142.6
Dave Matthews Band,32,56991887.72,613937,95.53
TWICE,13,55059438.85,345173,159.06
Imagine Dragons,18,51115351.25,576136,91.05
Eric Church,29,47206264.0,549790,86.4
Phish,12,45362716.75,489895,88.4
Lizzo,37,44245989.21,486007,90.49
Nickelback,51,42902769.07,743099,61.23
Stevie Nicks,21,42610997.41,253358,168.56
Bruno Mars,6,41721502.9,339557,145.7
Backstreet Boys,22,39964993.62,379427,107.09
Roger Waters,25,37718424.99,373341,102.68
Jason Aldean,40,37406561.7,599511,68.19
Paramore,29,36720126.33,385481,94.89
KISS,23,36002465.23,266237,129.41
Fuerza Regida,24,35599497.91,274617,134.72
Kevin Hart,33,35364008.76,323584,114.61
Matchbox 20,51,34573105.61,583492,66.95
Queen + Adam Lambert,11,34169403.97,222599,149.64
Lionel Richie,21,34084749.45,276403,124.15
Arctic Monkeys,20,32927979.28,428720,76.59
Janet Jackson,23,32678923.4,307651,108.37
SUGA,5,32526470.0,147133,220.74
Trans-Siberian Orchestra,29,32119925.76,419128,76.4
Doja Cat,21,31988065.4,272002,117.97
Duran Duran,25,31803273.0,288139,110.44
Luke Bryan,27,29295932.78,417320,77.02
Marco Antonio Solís,24,29170385.9,235682,122.0
"Enrique Iglesias, Pitbull, Ricky Martin",9,29059471.05,167620,176.51
The Cure,24,28857554.41,439412,64.78
"Enrique Iglesias, Ricky Martin, Pitbull",9,28377170.74,146880,197.51
Adam Sandler,24,27825496.37,268433,104.17
"""Corona Capital Festival""",1,27272063.47,215936,126.3
Maroon 5,24,27203545.43,212097,157.27
Greta Van Fleet,35,25108730.35,322584,77.8
Lana Del Rey,14,23111906.58,280783,85.99
Iron Maiden,16,22589401.13,259171,86.5
Chris Brown,11,22198020.36,237276,92.22
Rod Stewart,17,20882656.57,189305,109.92
"Wu-Tang Clan, Nas",26,20735748.59,238836,89.06
"""Tecate Pa'L Norte""",1,20734114.33,238235,87.03
"Snoop Dogg, Wiz Khalifa",28,20535788.44,443923,49.32
Junior H,21,20523253.18,195705,112.73
Pearl Jam,4,20469249.0,124821,164.22
TOMORROW X TOGETHER,6,20204609.15,136258,145.91
Shinedown,39,20130674.05,335868,63.54
